SeqNo,Date,UTC Time,EVENTOS
        251,2012-01-15,00:28:07.647,         46
        252,2012-01-15,00:28:08.450,         46
        253,2012-01-15,00:28:09.247,         46
        254,2012-01-15,00:28:10.052,         46
        255,2012-01-15,00:28:10.850,         46
        256,2012-01-15,00:28:11.658,         46
        257,2012-01-15,00:28:12.447,         46
        258,2012-01-15,00:28:13.256,         46
        259,2012-01-15,00:28:14.048,         46
        260,2012-01-15,00:28:14.858,         46
        261,2012-01-15,00:28:15.647,         46
        262,2012-01-15,00:28:16.451,         46
        263,2012-01-15,00:28:17.248,         46
        264,2012-01-15,00:28:18.050,         46
        265,2012-01-15,00:28:18.847,         46
        266,2012-01-15,00:28:19.649,         46
        267,2012-01-15,00:28:20.449,         46
        268,2012-01-15,00:28:21.247,         46
        269,2012-01-15,00:28:22.051,         46
        270,2012-01-15,00:28:22.847,         46
        271,2012-01-15,00:28:23.652,         46
        272,2012-01-15,00:28:24.448,         46
        273,2012-01-15,00:28:25.252,         46
        274,2012-01-15,00:28:26.046,         46
        275,2012-01-15,00:28:26.850,         46
        276,2012-01-15,00:28:27.648,         46
        277,2012-01-15,00:28:28.457,         46
        278,2012-01-15,00:28:29.247,         46
        279,2012-01-15,00:28:30.054,         46
        280,2012-01-15,00:28:30.848,         46
        281,2012-01-15,00:28:31.648,         46
        282,2012-01-15,00:28:32.451,         46
        283,2012-01-15,00:28:33.249,         46
        284,2012-01-15,00:28:34.053,         46
        285,2012-01-15,00:28:34.847,         46
        286,2012-01-15,00:28:35.652,         46
        287,2012-01-15,00:28:36.448,         46
        288,2012-01-15,00:28:37.247,         46
        289,2012-01-15,00:28:38.048,         46
        290,2012-01-15,00:28:38.853,         46
        291,2012-01-15,00:28:39.648,         46
        292,2012-01-15,00:28:40.450,         46
        293,2012-01-15,00:28:41.249,         46
        294,2012-01-15,00:28:42.051,         46
        295,2012-01-15,00:28:42.846,         46
        296,2012-01-15,00:28:43.648,         46
        297,2012-01-15,00:28:44.451,         46
        298,2012-01-15,00:28:45.251,         46
        299,2012-01-15,00:28:46.048,         46
        250,2012-01-15,00:28:06.849,         46
